Rank,Team,Year,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,RC_basic,RC_technical,R_diff,RC_per_game,RC+,RC+_diff
10,키움,25,6.88,144,10.45,-3.57,5508,5462,4935,581,1202,217,20,104,1771,540,83,15,439,63,13,1221,102,38,33,0.244,0.312,0.359,0.671,0.106,88.9,6.88,540.7910308894678,570.9511982570806,10.048801742919409,3.964938876785282,84.7,4.200000000000003
9,SSG,25,15.11,144,14.58,0.52,5517,5451,4875,609,1249,175,14,127,1833,578,129,47,493,60,19,1159,90,52,37,0.256,0.33,0.376,0.706,0.112,91.7,15.11,594.8371833084948,630.7926590538335,-21.792659053833518,4.380504576762733,93.6,-1.8999999999999915
8,KT,25,16.57,144,16.97,-0.4,5588,5511,4845,648,1228,214,17,104,1788,613,48,24,555,80,16,1044,108,65,43,0.253,0.337,0.369,0.706,0.118,94.7,16.57,590.3711111111111,630.1422369362921,17.85776306370792,4.375987756502028,93.5,1.2000000000000028
7,롯데,25,16.91,144,18.3,-1.39,5682,5591,4944,676,1318,242,26,75,1837,629,91,28,530,91,28,1030,123,72,45,0.267,0.346,0.372,0.718,0.121,96.0,16.91,620.1636828644502,662.9068215417105,13.093178458289458,4.603519594039657,98.4,-2.4000000000000057
4,두산,25,21.62,144,20.79,0.84,5581,5514,4952,647,1298,232,31,102,1898,592,144,43,469,65,20,1169,87,53,42,0.262,0.331,0.383,0.714,0.117,99.0,21.62,618.6618705035971,659.0622182404586,-12.062218240458606,4.576820960003185,97.8,1.2000000000000028
6,한화,25,20.01,144,19.19,0.82,5547,5453,4892,689,1303,250,16,116,1933,643,101,38,439,90,22,1038,109,79,46,0.266,0.335,0.395,0.73,0.126,99.4,20.01,631.6424685800038,664.7820230796971,24.21797692030293,4.616541826942341,98.6,0.8000000000000114
0,리그,25,207.59,1440,209.51,-1.91,55996,55279,49021,6813,12824,2243,208,1191,19056,6364,1078,362,5123,806,187,11024,1003,594,451,0.262,0.338,0.389,0.727,0.123,100.5,207.59,6316.453014184397,6738.917439057059,74.0825609429412,4.679803777122958,100.0,0.5
3,NC,25,23.33,144,24.52,-1.2,5570,5502,4816,732,1254,221,31,128,1921,685,186,64,504,136,11,1090,83,62,52,0.26,0.344,0.399,0.743,0.133,103.8,23.33,634.7966165413534,703.6301256732496,28.36987432675039,4.886320317175344,104.4,-0.6000000000000085
5,KIA,25,21.21,144,22.8,-1.59,5619,5568,4944,668,1276,232,16,144,1972,624,77,22,526,67,17,1211,96,43,39,0.258,0.335,0.399,0.734,0.12,104.0,21.21,649.6424131627057,688.3277914219611,-20.327791421961138,4.780054107096952,102.1,1.9000000000000057
2,삼성,25,29.61,144,26.97,2.64,5671,5587,4899,775,1330,241,18,161,2090,728,98,32,564,86,25,1087,106,67,55,0.271,0.353,0.427,0.78,0.139,108.3,29.61,724.594545121728,770.90509610298,4.094903897020004,5.35350761182625,114.4,-6.1000000000000085
1,LG,25,36.35,144,34.93,1.42,5713,5640,4919,788,1366,219,19,130,2013,732,121,49,604,68,16,975,99,63,59,0.278,0.361,0.409,0.77,0.14,118.7,36.35,718.017381857686,765.5542096971819,22.445790302818068,5.316348678452652,113.6,5.1000000000000085
